"Basename","year","month","day","hour","class","method","count","project"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"background","auto",22,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"background","manual",0,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"enchytraeidae","auto",1,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"enchytraeidae","manual",13,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"formicidae","auto",1,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"formicidae","manual",2,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"pauropoda","manual",2,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"symphyla","manual",6,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"unknown","auto",2,"DESCENT"
"scan106_2023-06-22_08H00M23S",2023,6,22,8,"unknown","manual",6,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"acari","manual",7,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"background","auto",24,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"background","manual",0,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"collembola","auto",1,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"collembola","manual",10,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"enchytraeidae","auto",2,"DESCENT"
"scan106_2023-06-23_08H00M23S",2023,6,23,8,"enchytraeidae","manual",24,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"background","auto",20,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"background","manual",0,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"collembola","auto",1,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"collembola","manual",10,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"pauropoda","manual",0,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"symphyla","auto",2,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"symphyla","manual",10,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"unknown","auto",1,"DESCENT"
"scan106_2023-06-24_08H00M24S",2023,6,24,8,"unknown","manual",11,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"acari","auto",3,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"acari","manual",7,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"background","auto",33,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"background","manual",0,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"collembola","auto",1,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"collembola","manual",14,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"enchytraeidae","auto",2,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"enchytraeidae","manual",28,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"pauropoda","manual",1,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"symphyla","manual",8,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"unknown","auto",1,"DESCENT"
"scan106_2023-06-25_08H00M23S",2023,6,25,8,"unknown","manual",6,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"acari","manual",3,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"background","auto",24,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"background","manual",0,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"collembola","auto",1,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"collembola","manual",16,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"enchytraeidae","auto",1,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"enchytraeidae","manual",19,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"symphyla","auto",2,"DESCENT"
"scan106_2023-06-26_08H00M24S",2023,6,26,8,"symphyla","manual",7,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"acari","manual",2,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"background","auto",77,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"background","manual",0,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"enchytraeidae","auto",2,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"enchytraeidae","manual",18,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"julida","auto",1,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"julida","manual",0,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"unknown","auto",3,"DESCENT"
"scan106_2023-06-27_08H00M24S",2023,6,27,8,"unknown","manual",8,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"acari","auto",2,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"acari","manual",5,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"background","auto",110,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"background","manual",0,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"enchytraeidae","auto",1,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"enchytraeidae","manual",17,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"pauropoda","auto",3,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"pauropoda","manual",5,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"symphyla","manual",5,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"unknown","auto",3,"DESCENT"
"scan106_2023-06-28_08H00M23S",2023,6,28,8,"unknown","manual",6,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"acari","manual",5,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"background","auto",168,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"background","manual",0,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"symphyla","manual",4,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"unknown","auto",1,"DESCENT"
"scan106_2023-06-29_08H00M24S",2023,6,29,8,"unknown","manual",13,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"acari","auto",1,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"acari","manual",4,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"background","auto",474,"DESCENT"
