taxon,resolution,frequence,datetime,x,y
Total,1200,360,2025-03-20T11:00:00Z,47,719
Total,1200,360,2025-03-20T14:00:00Z,48,741
Total,1200,360,2025-03-20T15:00:00Z,49,756
Total,1200,360,2025-03-20T17:00:00Z,50,769
Total,1200,360,2025-03-20T20:00:00Z,51,785
Total,1200,360,2025-03-20T21:00:00Z,52,799
Total,1200,360,2025-03-21T02:00:00Z,53,820
Total,1200,360,2025-03-21T03:00:00Z,54,834
Total,1200,360,2025-03-21T08:00:00Z,55,848
Total,1200,360,2025-03-21T09:00:00Z,56,860
Total,1200,360,2025-03-21T15:00:00Z,57,862
Total,1200,360,2025-03-21T21:00:00Z,58,874
Total,1200,360,2025-03-22T03:00:00Z,59,893
Total,1200,360,2025-03-22T09:00:00Z,60,906
Total,1200,360,2025-03-22T15:00:00Z,61,927
Total,1200,360,2025-03-22T21:00:00Z,62,940
Total,1200,360,2025-03-23T03:00:00Z,63,956
Total,1200,360,2025-03-29T02:00:00Z,64,1062
Total,1200,360,2025-03-29T08:00:00Z,65,1132
Total,1200,360,2025-03-29T11:00:00Z,66,1268
Total,1200,360,2025-03-29T14:00:00Z,67,1563
Total,1200,360,2025-03-29T17:00:00Z,68,1722
Total,1200,360,2025-03-29T20:00:00Z,69,1978
Total,1200,360,2025-03-30T01:00:00Z,70,2074
Total,1200,360,2025-03-30T04:00:00Z,71,2152
Total,1200,360,2025-03-30T07:00:00Z,72,2231
Total,1200,360,2025-03-30T10:00:00Z,73,2385
Total,1200,360,2025-03-30T13:00:00Z,74,2771
Total,1200,360,2025-03-30T16:00:00Z,75,3151
Total,1200,360,2025-03-30T19:00:00Z,76,3713
Total,1200,360,2025-03-31T01:00:00Z,77,3903
Total,1200,360,2025-03-31T04:00:00Z,78,4060
Total,1200,360,2025-03-31T07:00:00Z,79,4187
Total,1200,360,2025-03-31T10:00:00Z,80,4419
Total,1200,360,2025-03-31T13:00:00Z,81,4635
Total,1200,360,2025-03-31T16:00:00Z,82,4882
Total,1200,360,2025-04-01T17:00:00Z,83,5119
Total,1200,360,2025-04-03T11:00:00Z,84,5371
Total,1200,360,2025-04-03T17:00:00Z,85,5537
Total,1200,360,2025-04-03T23:00:00Z,86,5659
Total,1200,360,2025-04-04T05:00:00Z,87,5726
Total,1200,360,2025-04-07T00:00:00Z,88,5778
Total,1200,360,2025-04-07T03:00:00Z,89,5792
Total,1200,360,2025-04-07T06:00:00Z,90,5830
Total,1200,360,2025-04-07T15:00:00Z,91,5849
Total,1200,360,2025-04-07T18:00:00Z,92,5916
Total,1200,360,2025-04-07T21:00:00Z,93,5949
Total,1200,360,2025-04-08T00:00:00Z,94,6006
Total,1200,360,2025-04-08T03:00:00Z,95,6037
Total,1200,360,2025-04-08T06:00:00Z,96,6082
Total,1200,360,2025-04-08T09:00:00Z,97,6114
Total,1200,360,2025-04-08T12:00:00Z,98,6198
Total,1200,360,2025-04-08T15:00:00Z,99,6215
Total,1200,360,2025-04-08T18:00:00Z,100,6262
Total,1200,360,2025-04-08T21:00:00Z,101,6284
Total,1200,360,2025-04-09T00:00:00Z,102,6322
Total,1200,360,2025-04-09T03:00:00Z,103,6346
Total,1200,360,2025-04-09T06:00:00Z,104,6423
Total,1200,360,2025-04-09T09:00:00Z,105,6487
Total,1200,360,2025-04-09T12:00:00Z,106,6532
Total,1200,360,2025-04-09T15:00:00Z,107,6547
Total,1200,360,2025-04-10T10:00:00Z,108,6581
Total,1200,360,2025-04-10T16:00:00Z,109,6585
Total,1200,360,2025-04-11T04:00:00Z,110,6614
Total,1200,360,2025-04-11T10:00:00Z,111,6640
Total,1200,360,2025-04-11T16:00:00Z,112,6643
Total,1200,360,2025-04-12T04:00:00Z,113,6683
Total,1200,360,2025-04-12T10:00:00Z,114,6713
Total,1200,360,2025-04-12T16:00:00Z,115,6724
Total,1200,360,2025-04-16T06:00:00Z,116,6727
Total,2400,60,2025-03-06T06:00:00Z,1,18
Total,2400,60,2025-03-06T07:00:00Z,2,25
Total,2400,60,2025-03-06T08:00:00Z,3,38
Total,2400,60,2025-03-06T09:00:00Z,4,51
Total,2400,60,2025-03-06T10:00:00Z,5,58
Total,2400,60,2025-03-06T11:00:00Z,6,72
Total,2400,60,2025-03-06T12:00:00Z,7,84
Total,2400,60,2025-03-06T13:00:00Z,8,94
Total,2400,60,2025-03-06T14:00:00Z,9,107
Total,2400,60,2025-03-06T15:00:00Z,10,127
Total,2400,60,2025-03-06T16:00:00Z,11,148
Total,2400,60,2025-03-09T13:00:00Z,12,165
Total,2400,60,2025-03-09T14:00:00Z,13,178
Total,2400,60,2025-03-09T15:00:00Z,14,193
Total,2400,60,2025-03-09T16:00:00Z,15,209
Total,2400,60,2025-03-09T17:00:00Z,16,223
Total,2400,60,2025-03-09T18:00:00Z,17,236
Total,2400,60,2025-03-09T19:00:00Z,18,247
Total,2400,60,2025-03-09T20:00:00Z,19,254
Total,2400,60,2025-03-09T21:00:00Z,20,266
Total,2400,60,2025-03-09T22:00:00Z,21,277
Total,2400,60,2025-03-10T04:00:00Z,22,286
Total,2400,60,2025-03-10T05:00:00Z,23,298
Total,2400,60,2025-03-10T06:00:00Z,24,308
Total,2400,60,2025-03-10T07:00:00Z,25,323
Total,2400,60,2025-03-10T08:00:00Z,26,338
Total,2400,60,2025-03-10T09:00:00Z,27,343
Total,2400,60,2025-03-10T10:00:00Z,28,350
Total,2400,60,2025-03-10T11:00:00Z,29,359
Total,2400,60,2025-03-10T12:00:00Z,30,368
Total,2400,60,2025-03-10T13:00:00Z,31,383
Total,2400,60,2025-03-10T14:00:00Z,32,398
Total,2400,60,2025-03-14T08:00:00Z,33,417
Total,2400,60,2025-03-14T09:00:00Z,34,439
Total,2400,60,2025-03-14T10:00:00Z,35,464
Total,2400,60,2025-03-14T11:00:00Z,36,479
Total,2400,60,2025-03-14T12:00:00Z,37,502
Total,2400,60,2025-03-14T13:00:00Z,38,510
Total,2400,60,2025-03-14T14:00:00Z,39,529
Total,2400,60,2025-03-14T15:00:00Z,40,548
Total,2400,60,2025-03-14T16:00:00Z,41,563
Total,2400,60,2025-03-14T17:00:00Z,42,584
Total,2400,60,2025-03-14T18:00:00Z,43,598
Total,2400,60,2025-03-17T03:00:00Z,44,621
Total,2400,60,2025-03-17T04:00:00Z,45,636
Total,2400,60,2025-03-17T05:00:00Z,46,657
Total,2400,60,2025-03-17T06:00:00Z,47,680
Total,2400,60,2025-03-17T07:00:00Z,48,699
Total,2400,60,2025-03-17T08:00:00Z,49,730
Total,2400,60,2025-03-17T09:00:00Z,50,752
Total,2400,60,2025-03-17T10:00:00Z,51,782
Total,2400,60,2025-03-17T11:00:00Z,52,804
Total,2400,60,2025-03-17T12:00:00Z,53,820
Total,2400,60,2025-03-17T13:00:00Z,54,846
Total,2400,60,2025-03-24T00:00:00Z,55,865
Total,2400,60,2025-03-24T01:00:00Z,56,880
Total,2400,60,2025-03-24T02:00:00Z,57,896
Total,2400,60,2025-03-24T03:00:00Z,58,923
Total,2400,60,2025-03-24T04:00:00Z,59,960
Total,2400,60,2025-03-24T05:00:00Z,60,999
Total,2400,60,2025-03-24T06:00:00Z,61,1010
Total,2400,60,2025-03-24T07:00:00Z,62,1041
Total,2400,60,2025-03-24T08:00:00Z,63,1079
Total,2400,60,2025-03-24T09:00:00Z,64,1109
Total,2400,60,2025-03-25T08:00:00Z,65,1196
Total,2400,60,2025-03-25T09:00:00Z,66,1313
Total,2400,60,2025-03-25T10:00:00Z,67,1435
Total,2400,60,2025-03-25T11:00:00Z,68,1563
Total,2400,60,2025-03-25T12:00:00Z,69,1638
Total,2400,60,2025-03-25T13:00:00Z,70,1730
Total,2400,60,2025-03-25T14:00:00Z,71,1812
Total,2400,60,2025-03-25T15:00:00Z,72,1887
Total,2400,60,2025-03-25T16:00:00Z,73,1968
Total,2400,60,2025-03-25T17:00:00Z,74,2045
Total,2400,60,2025-03-25T18:00:00Z,75,2129
Total,2400,60,2025-03-26T01:00:00Z,76,2207
Total,2400,60,2025-03-26T02:00:00Z,77,2265
Total,2400,60,2025-03-26T03:00:00Z,78,2323
Total,2400,60,2025-03-26T04:00:00Z,79,2378
Total,2400,60,2025-03-26T05:00:00Z,80,2427
Total,2400,60,2025-03-26T06:00:00Z,81,2483
Total,2400,60,2025-03-26T07:00:00Z,82,2554
Total,2400,60,2025-03-26T08:00:00Z,83,2626
Total,2400,60,2025-03-26T09:00:00Z,84,2704
Total,2400,60,2025-03-28T18:00:00Z,85,2779
Total,2400,60,2025-03-28T19:00:00Z,86,2839
Total,2400,60,2025-03-28T20:00:00Z,87,2912
Total,2400,60,2025-03-28T21:00:00Z,88,2966
Total,2400,60,2025-03-28T22:00:00Z,89,3032
Total,2400,60,2025-03-29T00:00:00Z,90,3103
Total,2400,60,2025-03-29T01:00:00Z,91,3163
Total,2400,60,2025-03-29T02:00:00Z,92,3223
Total,2400,60,2025-03-29T03:00:00Z,93,3285
Total,2400,60,2025-03-29T04:00:00Z,94,3348
Total,2400,60,2025-04-06T23:00:00Z,95,3371
Total,2400,60,2025-04-07T00:00:00Z,96,3392
Total,2400,60,2025-04-07T01:00:00Z,97,3420
Total,2400,60,2025-04-07T02:00:00Z,98,3444
Total,2400,60,2025-04-07T03:00:00Z,99,3483
Total,2400,60,2025-04-07T04:00:00Z,100,3523
Total,2400,60,2025-04-07T05:00:00Z,101,3557
Total,2400,60,2025-04-07T06:00:00Z,102,3603
Total,2400,60,2025-04-07T07:00:00Z,103,3652
Total,2400,60,2025-04-07T08:00:00Z,104,3681
Total,2400,60,2025-04-10T05:00:00Z,105,3703
Total,2400,60,2025-04-10T06:00:00Z,106,3730
Total,2400,60,2025-04-10T07:00:00Z,107,3762
Total,2400,60,2025-04-10T08:00:00Z,108,3803
Total,2400,60,2025-04-10T09:00:00Z,109,3827
Total,2400,60,2025-04-10T10:00:00Z,110,3848
Total,2400,60,2025-04-10T11:00:00Z,111,3866
Total,2400,60,2025-04-10T12:00:00Z,112,3887
Total,2400,60,2025-04-10T13:00:00Z,113,3900
Total,2400,60,2025-04-10T14:00:00Z,114,3913
Total,2400,60,2025-04-10T15:00:00Z,115,3926
Total,2400,60,2025-04-15T23:00:00Z,116,3932
Total,2400,60,2025-04-16T00:00:00Z,117,3940
Total,2400,60,2025-04-16T01:00:00Z,118,3946
Total,2400,60,2025-04-16T02:00:00Z,119,3951
Total,2400,60,2025-04-16T03:00:00Z,120,3959
Total,2400,60,2025-04-16T04:00:00Z,121,3965
Total,2400,60,2025-04-16T05:00:00Z,122,3981
Total,2400,60,2025-04-16T06:00:00Z,123,3992
Total,2400,60,2025-04-16T07:00:00Z,124,4007
Total,2400,60,2025-04-16T08:00:00Z,125,4011
Total,2400,360,2025-03-03T13:00:00Z,1,15
Total,2400,360,2025-03-03T19:00:00Z,2,31
Total,2400,360,2025-03-04T01:00:00Z,3,45
Total,2400,360,2025-03-04T01:00:00Z,4,56
Total,2400,360,2025-03-04T07:00:00Z,5,66
Total,2400,360,2025-03-04T07:00:00Z,6,87
Total,2400,360,2025-03-04T13:00:00Z,7,107
Total,2400,360,2025-03-04T13:00:00Z,8,122
Total,2400,360,2025-03-04T19:00:00Z,9,143
Total,2400,360,2025-03-04T19:00:00Z,10,161
Total,2400,360,2025-03-05T01:00:00Z,11,175
Total,2400,360,2025-03-05T01:00:00Z,12,188
Total,2400,360,2025-03-05T07:00:00Z,13,212
Total,2400,360,2025-03-05T07:00:00Z,14,224
Total,2400,360,2025-03-05T13:00:00Z,15,242
Total,2400,360,2025-03-05T13:00:00Z,16,257
Total,2400,360,2025-03-05T19:00:00Z,17,277
Total,2400,360,2025-03-05T19:00:00Z,18,293
Total,2400,360,2025-03-06T01:00:00Z,19,312
Total,2400,360,2025-03-06T01:00:00Z,20,330
Total,2400,360,2025-03-06T07:00:00Z,21,339
Total,2400,360,2025-03-06T13:00:00Z,22,350
Total,2400,360,2025-03-07T08:00:00Z,23,363
Total,2400,360,2025-03-07T14:00:00Z,24,379
Total,2400,360,2025-03-07T20:00:00Z,25,393
Total,2400,360,2025-03-08T02:00:00Z,26,410
Total,2400,360,2025-03-08T08:00:00Z,27,420
Total,2400,360,2025-03-08T14:00:00Z,28,426
Total,2400,360,2025-03-08T20:00:00Z,29,436
Total,2400,360,2025-03-09T02:00:00Z,30,446
Total,2400,360,2025-03-09T08:00:00Z,31,454
Total,2400,360,2025-03-09T14:00:00Z,32,466
Total,2400,360,2025-03-09T20:00:00Z,33,480
Total,2400,360,2025-03-15T13:00:00Z,34,514
Total,2400,360,2025-03-15T19:00:00Z,35,535
Total,2400,360,2025-03-16T01:00:00Z,36,559
Total,2400,360,2025-03-16T07:00:00Z,37,571
Total,2400,360,2025-03-16T13:00:00Z,38,608
Total,2400,360,2025-03-16T19:00:00Z,39,637
Total,2400,360,2025-03-17T01:00:00Z,40,666
Total,2400,360,2025-03-17T07:00:00Z,41,689
Total,2400,360,2025-03-17T13:00:00Z,42,742
Total,2400,360,2025-03-17T19:00:00Z,43,775
Total,2400,360,2025-03-18T01:00:00Z,44,802
Total,2400,360,2025-03-18T02:00:00Z,45,825
Total,2400,360,2025-03-18T08:00:00Z,46,850
Total,2400,360,2025-03-18T14:00:00Z,47,877
Total,2400,360,2025-03-18T20:00:00Z,48,903
Total,2400,360,2025-03-19T02:00:00Z,49,928
Total,2400,360,2025-03-19T08:00:00Z,50,950
Total,2400,360,2025-03-19T14:00:00Z,51,983
Total,2400,360,2025-03-19T20:00:00Z,52,994
Total,2400,360,2025-03-20T02:00:00Z,53,1045
Total,2400,360,2025-03-20T08:00:00Z,54,1083
Total,2400,360,2025-03-21T09:00:00Z,55,1127
Total,2400,360,2025-03-21T15:00:00Z,56,1141
Total,2400,360,2025-03-21T21:00:00Z,57,1168
Total,2400,360,2025-03-22T03:00:00Z,58,1195
Total,2400,360,2025-03-22T09:00:00Z,59,1214
Total,2400,360,2025-03-22T15:00:00Z,60,1226
Total,2400,360,2025-03-22T21:00:00Z,61,1258
Total,2400,360,2025-03-23T03:00:00Z,62,1287
Total,2400,360,2025-03-23T09:00:00Z,63,1328
Total,2400,360,2025-03-23T15:00:00Z,64,1350
Total,2400,360,2025-03-23T21:00:00Z,65,1380
Total,2400,360,2025-03-26T01:00:00Z,66,1510
Total,2400,360,2025-03-26T07:00:00Z,67,1647
Total,2400,360,2025-03-26T13:00:00Z,68,3357
Total,2400,360,2025-03-26T19:00:00Z,69,3598
Total,2400,360,2025-03-27T01:00:00Z,70,3802
Total,2400,360,2025-03-27T07:00:00Z,71,3926
Total,2400,360,2025-03-27T13:00:00Z,72,4129
Total,2400,360,2025-03-27T19:00:00Z,73,4141
Total,2400,360,2025-03-28T01:00:00Z,74,4175
Total,2400,360,2025-03-28T07:00:00Z,75,4204
Total,2400,360,2025-03-28T13:00:00Z,76,4217
Total,2400,360,2025-04-01T08:00:00Z,77,4376
Total,2400,360,2025-04-01T14:00:00Z,78,4561
Total,2400,360,2025-04-01T20:00:00Z,79,4721
Total,2400,360,2025-04-02T02:00:00Z,80,5014
Total,2400,360,2025-04-02T08:00:00Z,81,5162
Total,2400,360,2025-04-02T14:00:00Z,82,5360
Total,2400,360,2025-04-02T20:00:00Z,83,5488
Total,2400,360,2025-04-03T02:00:00Z,84,5611
Total,2400,360,2025-04-03T08:00:00Z,85,5733
Total,2400,360,2025-04-03T14:00:00Z,86,6551
Total,2400,360,2025-04-03T14:00:00Z,87,7038
Total,2400,360,2025-04-03T20:00:00Z,88,7329
Total,2400,360,2025-04-03T20:00:00Z,89,7539
Total,2400,360,2025-04-04T02:00:00Z,90,7705
Total,2400,360,2025-04-04T08:00:00Z,91,7981
Total,2400,360,2025-04-13T08:00:00Z,92,8235
Total,2400,360,2025-04-13T14:00:00Z,93,8436
Total,2400,360,2025-04-13T17:00:00Z,94,8616
Total,2400,360,2025-04-13T20:00:00Z,95,8758
Total,2400,360,2025-04-13T23:00:00Z,96,8942
Total,2400,360,2025-04-14T02:00:00Z,97,9068
Total,2400,360,2025-04-14T05:00:00Z,98,9223
Total,2400,360,2025-04-14T08:00:00Z,99,9320
Total,2400,360,2025-04-14T11:00:00Z,100,9454
Total,2400,360,2025-04-14T14:00:00Z,101,9757
Total,2400,360,2025-04-14T17:00:00Z,102,10989
Total,2400,360,2025-04-14T20:00:00Z,103,11112
Total,2400,360,2025-04-14T23:00:00Z,104,11233
Total,2400,360,2025-04-15T02:00:00Z,105,11307
Total,2400,360,2025-04-15T05:00:00Z,106,11430
Total,2400,360,2025-04-15T08:00:00Z,107,11500
Total,2400,360,2025-04-15T11:00:00Z,108,11695
Total,2400,360,2025-04-15T14:00:00Z,109,12100
Total,2400,360,2025-04-15T20:00:00Z,110,12289
Total,2400,360,2025-04-15T23:00:00Z,111,12743
Total,2400,360,2025-04-16T05:00:00Z,112,12907
Acari,600,15,2025-03-10T00:45:00Z,1,1
Acari,600,15,2025-03-10T02:45:00Z,2,2
Acari,600,15,2025-03-13T09:00:00Z,3,3
Acari,600,15,2025-03-21T09:45:00Z,4,4
Acari,600,15,2025-03-21T11:45:00Z,5,5
Acari,600,15,2025-04-06T19:00:00Z,6,6
Acari,600,15,2025-04-06T19:30:00Z,7,7
Acari,600,15,2025-04-06T20:45:00Z,8,8
Acari,600,15,2025-04-10T02:00:00Z,9,9
Acari,600,15,2025-04-10T02:30:00Z,10,10
Acari,600,60,2025-03-03T09:00:00Z,1,1
Acari,600,60,2025-03-06T15:00:00Z,2,2
Acari,600,60,2025-03-06T16:00:00Z,3,3
Acari,600,60,2025-03-06T17:00:00Z,4,4
Acari,600,60,2025-03-13T04:00:00Z,5,5
Acari,600,60,2025-03-23T15:00:00Z,6,6
Acari,600,60,2025-04-09T18:00:00Z,7,7
Acari,600,60,2025-04-09T21:00:00Z,8,8
Acari,600,60,2025-04-13T00:00:00Z,9,9
Acari,600,60,2025-04-13T05:00:00Z,10,10
Acari,600,360,2025-03-04T19:00:00Z,1,1
Acari,600,360,2025-03-05T01:00:00Z,2,2
Acari,600,360,2025-03-05T19:00:00Z,3,3
Acari,600,360,2025-03-16T10:00:00Z,4,4
Acari,600,360,2025-03-16T13:00:00Z,5,5
Acari,600,360,2025-04-09T15:00:00Z,6,6
Acari,600,360,2025-04-10T16:00:00Z,7,7
Acari,600,360,2025-04-12T10:00:00Z,8,9
Acari,600,360,2025-04-12T10:00:00Z,9,10
Acari,1200,15,2025-03-06T14:15:00Z,1,1
Acari,1200,15,2025-03-06T14:30:00Z,2,2
Acari,1200,15,2025-03-06T15:00:00Z,3,4
Acari,1200,15,2025-03-06T15:45:00Z,4,6
Acari,1200,15,2025-03-06T16:15:00Z,5,7
Acari,1200,15,2025-03-06T16:45:00Z,6,9
Acari,1200,15,2025-03-09T21:15:00Z,7,10
Acari,1200,15,2025-03-09T21:30:00Z,8,12
Acari,1200,15,2025-03-09T22:15:00Z,9,13
Acari,1200,15,2025-03-09T22:30:00Z,10,15
Acari,1200,15,2025-03-09T23:30:00Z,11,16
Acari,1200,15,2025-03-09T23:45:00Z,12,18
Acari,1200,15,2025-03-10T01:15:00Z,13,19
Acari,1200,15,2025-03-10T02:30:00Z,14,20
Acari,1200,15,2025-03-14T07:15:00Z,15,22
Acari,1200,15,2025-03-14T08:00:00Z,16,23
Acari,1200,15,2025-03-14T08:15:00Z,17,24
Acari,1200,15,2025-03-14T09:00:00Z,18,25
Acari,1200,15,2025-03-21T12:15:00Z,19,27
Acari,1200,15,2025-03-21T12:30:00Z,20,29
Acari,1200,15,2025-03-21T13:00:00Z,21,30
Acari,1200,15,2025-03-21T14:15:00Z,22,34
Acari,1200,15,2025-03-21T14:30:00Z,23,40
Acari,1200,15,2025-03-21T14:45:00Z,24,42
Acari,1200,15,2025-03-23T07:15:00Z,25,43
Acari,1200,15,2025-03-23T07:30:00Z,26,45
Acari,1200,15,2025-03-23T07:45:00Z,27,47
Acari,1200,15,2025-03-23T08:00:00Z,28,48
Acari,1200,15,2025-03-23T08:15:00Z,29,51
Acari,1200,15,2025-03-23T08:30:00Z,30,52
Acari,1200,15,2025-03-23T08:45:00Z,31,53
Acari,1200,15,2025-03-23T09:00:00Z,32,54
Acari,1200,15,2025-03-23T09:15:00Z,33,55
Acari,1200,15,2025-03-23T09:30:00Z,34,56
Acari,1200,15,2025-03-23T09:45:00Z,35,58
Acari,1200,15,2025-04-12T23:15:00Z,36,59
Acari,1200,15,2025-04-12T23:30:00Z,37,60
Acari,1200,15,2025-04-13T00:00:00Z,38,61
Acari,1200,15,2025-04-13T00:15:00Z,39,63
Acari,1200,15,2025-04-13T00:45:00Z,40,64
Acari,1200,15,2025-04-13T01:00:00Z,41,65
Acari,1200,15,2025-04-13T01:15:00Z,42,67
Acari,1200,15,2025-04-13T01:30:00Z,43,68
Acari,1200,15,2025-04-13T01:45:00Z,44,69
Acari,1200,15,2025-04-16T06:15:00Z,45,70
Acari,1200,15,2025-04-16T06:15:00Z,46,71
Acari,1200,15,2025-04-16T06:30:00Z,47,72
Acari,1200,15,2025-04-16T06:30:00Z,48,73
Acari,1200,15,2025-04-16T07:00:00Z,49,75
Acari,1200,15,2025-04-16T07:30:00Z,50,76
Acari,1200,15,2025-04-16T07:30:00Z,51,78
Acari,1200,15,2025-04-16T07:45:00Z,52,79
Acari,1200,15,2025-04-16T08:15:00Z,53,80
Acari,1200,15,2025-04-16T08:15:00Z,54,81
Acari,1200,15,2025-04-16T08:30:00Z,55,82
Acari,1200,60,2025-03-06T03:00:00Z,1,3
Acari,1200,60,2025-03-06T05:00:00Z,2,5
Acari,1200,60,2025-03-06T06:00:00Z,3,6
Acari,1200,60,2025-03-06T07:00:00Z,4,7
Acari,1200,60,2025-03-06T09:00:00Z,5,11
Acari,1200,60,2025-03-06T10:00:00Z,6,13
Acari,1200,60,2025-03-06T11:00:00Z,7,16
Acari,1200,60,2025-03-06T12:00:00Z,8,18
Acari,1200,60,2025-03-06T13:00:00Z,9,20
Acari,1200,60,2025-03-14T16:00:00Z,10,23
Acari,1200,60,2025-03-14T17:00:00Z,11,24
Acari,1200,60,2025-03-14T18:00:00Z,12,25
Acari,1200,60,2025-03-14T19:00:00Z,13,27
Acari,1200,60,2025-03-14T20:00:00Z,14,29
Acari,1200,60,2025-03-18T08:00:00Z,15,31
Acari,1200,60,2025-03-18T10:00:00Z,16,32
Acari,1200,60,2025-03-18T11:00:00Z,17,34
Acari,1200,60,2025-03-18T13:00:00Z,18,36
Acari,1200,60,2025-03-24T00:00:00Z,19,38
Acari,1200,60,2025-03-24T01:00:00Z,20,39
Acari,1200,60,2025-03-24T02:00:00Z,21,41
Acari,1200,60,2025-03-24T05:00:00Z,22,42
Acari,1200,60,2025-03-24T06:00:00Z,23,45
Acari,1200,60,2025-03-24T07:00:00Z,24,49
Acari,1200,60,2025-03-24T08:00:00Z,25,50
Acari,1200,60,2025-03-24T09:00:00Z,26,51
Acari,1200,60,2025-04-06T07:00:00Z,27,52
Acari,1200,60,2025-04-06T08:00:00Z,28,53
Acari,1200,60,2025-04-06T09:00:00Z,29,54
Acari,1200,60,2025-04-06T10:00:00Z,30,57
Acari,1200,60,2025-04-06T10:00:00Z,31,63
Acari,1200,60,2025-04-06T11:00:00Z,32,64
Acari,1200,60,2025-04-06T11:00:00Z,33,66
Acari,1200,60,2025-04-06T12:00:00Z,34,69
Acari,1200,60,2025-04-06T12:00:00Z,35,70
Acari,1200,60,2025-04-06T13:00:00Z,36,71
Acari,1200,60,2025-04-06T13:00:00Z,37,72
Acari,1200,60,2025-04-06T14:00:00Z,38,73
Acari,1200,60,2025-04-06T14:00:00Z,39,77
Acari,1200,60,2025-04-06T15:00:00Z,40,79
Acari,1200,60,2025-04-06T15:00:00Z,41,81
Acari,1200,60,2025-04-06T16:00:00Z,42,83
Acari,1200,60,2025-04-06T16:00:00Z,43,84
Acari,1200,60,2025-04-06T17:00:00Z,44,87
Acari,1200,60,2025-04-06T17:00:00Z,45,90
Acari,1200,60,2025-04-06T19:00:00Z,46,92
Acari,1200,60,2025-04-06T20:00:00Z,47,94
Acari,1200,60,2025-04-09T14:00:00Z,48,96
Acari,1200,60,2025-04-09T16:00:00Z,49,97
Acari,1200,60,2025-04-09T17:00:00Z,50,102
Acari,1200,60,2025-04-09T18:00:00Z,51,103
Acari,1200,60,2025-04-09T19:00:00Z,52,105
Acari,1200,60,2025-04-09T20:00:00Z,53,107
Acari,1200,60,2025-04-09T21:00:00Z,54,111
Acari,1200,60,2025-04-09T23:00:00Z,55,117
Acari,1200,60,2025-04-10T00:00:00Z,56,118
Acari,1200,360,2025-03-10T06:00:00Z,1,1
Acari,1200,360,2025-03-10T12:00:00Z,2,2
Acari,1200,360,2025-03-10T21:00:00Z,3,5
Acari,1200,360,2025-03-10T21:00:00Z,4,7
Acari,1200,360,2025-03-11T00:00:00Z,5,8
Acari,1200,360,2025-03-11T03:00:00Z,6,10
Acari,1200,360,2025-03-11T09:00:00Z,7,11
Acari,1200,360,2025-03-11T18:00:00Z,8,12
Acari,1200,360,2025-03-11T21:00:00Z,9,14
Acari,1200,360,2025-03-11T21:00:00Z,10,15
Acari,1200,360,2025-03-12T03:00:00Z,11,17
Acari,1200,360,2025-03-12T21:00:00Z,12,18
Acari,1200,360,2025-03-12T21:00:00Z,13,19
Acari,1200,360,2025-03-13T03:00:00Z,14,20
Acari,1200,360,2025-03-13T03:00:00Z,15,23
Acari,1200,360,2025-03-13T09:00:00Z,16,24
Acari,1200,360,2025-03-18T17:00:00Z,17,25
Acari,1200,360,2025-03-18T20:00:00Z,18,27
Acari,1200,360,2025-03-19T02:00:00Z,19,29
Acari,1200,360,2025-03-19T05:00:00Z,20,30
Acari,1200,360,2025-03-19T08:00:00Z,21,33
Acari,1200,360,2025-03-19T11:00:00Z,22,34
Acari,1200,360,2025-03-19T20:00:00Z,23,37
Acari,1200,360,2025-03-20T02:00:00Z,24,40
Acari,1200,360,2025-03-20T05:00:00Z,25,43
Acari,1200,360,2025-03-20T08:00:00Z,26,44
Acari,1200,360,2025-03-20T14:00:00Z,27,45
Acari,1200,360,2025-03-20T17:00:00Z,28,46
Acari,1200,360,2025-03-20T20:00:00Z,29,47
Acari,1200,360,2025-03-20T21:00:00Z,30,49
Acari,1200,360,2025-03-21T02:00:00Z,31,55
Acari,1200,360,2025-03-21T03:00:00Z,32,58
Acari,1200,360,2025-03-21T08:00:00Z,33,59
Acari,1200,360,2025-03-21T09:00:00Z,34,61
Acari,1200,360,2025-03-21T21:00:00Z,35,62
Acari,1200,360,2025-03-22T03:00:00Z,36,65
Acari,1200,360,2025-03-22T09:00:00Z,37,66
Acari,1200,360,2025-03-22T15:00:00Z,38,68
Acari,1200,360,2025-03-22T21:00:00Z,39,71
Acari,1200,360,2025-03-23T03:00:00Z,40,74
Acari,1200,360,2025-04-07T00:00:00Z,41,76
Acari,1200,360,2025-04-07T03:00:00Z,42,77
Acari,1200,360,2025-04-07T06:00:00Z,43,84
Acari,1200,360,2025-04-07T15:00:00Z,44,86
Acari,1200,360,2025-04-07T18:00:00Z,45,87
Acari,1200,360,2025-04-07T21:00:00Z,46,88
Acari,1200,360,2025-04-08T00:00:00Z,47,89
Acari,1200,360,2025-04-08T03:00:00Z,48,90
Acari,1200,360,2025-04-08T06:00:00Z,49,96
Acari,1200,360,2025-04-08T09:00:00Z,50,97
Acari,1200,360,2025-04-08T12:00:00Z,51,100
Acari,1200,360,2025-04-08T18:00:00Z,52,101
Acari,1200,360,2025-04-08T21:00:00Z,53,103
Acari,1200,360,2025-04-09T00:00:00Z,54,105
Acari,1200,360,2025-04-09T06:00:00Z,55,107
Acari,1200,360,2025-04-09T09:00:00Z,56,109
Acari,1200,360,2025-04-09T12:00:00Z,57,112
